,0
169,0.2762650928562477
170,0.2805294568508302
171,0.2831912793507509
172,0.2897263593323918
173,0.294026786794779
174,0.2968399937804625
175,0.2965233739749293
176,0.2981411000876142
177,0.30269366402832215
178,0.30653152493424574
179,0.3096541698115327
180,0.31486116000940007
181,0.32058109276001
182,0.3254160085169291
183,0.3311104967724735
184,0.33370773334641124
185,0.3378841188953539
186,0.3417124894150131
187,0.348310718939851
188,0.3536158448616304
189,0.3604688271334349
190,0.36469630687004956
191,0.3710782581868304
192,0.3745991914909094
193,0.3776580199329917
194,0.38287044786569163
195,0.38763934131384187
196,0.3924436826371741
197,0.4010819348137686
198,0.4060840352670961
199,0.4126521520528141
200,0.4185506579633497
201,0.4262394098190409
202,0.4334118846619506
203,0.4383655584956373
204,0.4435679317488355
205,0.4489546749924884
206,0.4567410495782395
207,0.46593025715201913
208,0.4721607213842666
209,0.47779862641792137
210,0.48576413845683547
211,0.49673302430241684
212,0.5021158687927937
213,0.5148026684503805
214,0.5188607063176373
215,0.5247519277154726
216,0.5265902924839577
217,0.5332727042999298
218,0.5333292362224343
219,0.5365011285095255
220,0.5433305130641323
221,0.5484762004966703
222,0.5537243841008637
223,0.5571500031472173
224,0.5636262427340192
225,0.5708376538103054
226,0.583892526556794
227,0.5937261057082313
228,0.6025278490254989
229,0.6124283738746389
230,0.6219878091114992
231,0.6319613842851823
232,0.6448665654256199
233,0.6530926270420297
234,0.6649613554036283
235,0.6739994862879565
236,0.6877105294707017
237,0.6954510937054577
238,0.7010275420756275
239,0.7091262786179392
240,0.7176858888370024
241,0.7273859356887309
242,0.7349455156924561
243,0.7408785460892401
244,0.7400123559699223
245,0.7474266048153398
246,0.7489660480661902
247,0.733933584019749
248,0.7254146029137742
249,0.7231847212373452
250,0.7254279407539296
251,0.734783204437643
252,0.7406596516125371
253,0.7513061721214415
254,0.7599788461855136
255,0.768830452505208
256,0.7692492093866998
257,0.7806661440627296
258,0.787140075177197
259,0.7973069464343617
260,0.8069804202045501
261,0.8145711902344849
262,0.820013439412938
263,0.8235741297405569
264,0.8327100885524856
265,0.8360932830072684
266,0.8467614518567324
267,0.8596139485285565
268,0.8612265960021055
269,0.8760827440615702
270,0.8915410956040479
271,0.8973726045174957
272,0.9044920357960954
273,0.9157014131595541
274,0.9225993849921903
275,0.9256535964896034
276,0.9276009724516658
277,0.938520149192976
278,0.9483230000126709
279,0.957372981054983
280,0.9651786955089594
281,0.9750437724829173
282,0.9878990393215429
283,1.0000000000000002
